 CUSTOMERNUMBER,customername,contactlastname,contactfirstname,phone,addressline1,addressline2,city,state,POSTALCODE,country,SALESREPEMPLOYEENUMBER,CREDITLIMIT
1002,Atelier graphique,Schmitt,Carine ,40.32.2555,"54, rue Royale",subham,Brickhaven,NULL,34345,France,1370,565656
1056,Signal Gift Stores,King,Jean,7025551838,8489 Strong St.,subham,Liverpool,NV,34346,USA,1166,565657
1076,"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Vancouver,Victoria,34347,Australia,1611,565658
1088,La Rochelle Gifts,Labrune,Janine ,40.67.8555,"67, rue des Cinquante Otages",subham,Brickhaven,NULL,34348,France,1370,565659
1102,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,subham,Pasadena,NULL,34349,Norway,1504,565660
1143,Mini Gifts Distributors Ltd.,Nelson,Susan,4155551450,5677 Strong St.,subham,Singapore,CA,34350,USA,1165,565661
1337,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinb?ltet 34,subham,NULL,NULL,34357,Denmark,1401,565668
1165,Havel & Zbyszek Co,Piestrzeniewicz,Zbyszek ,(26) 642-7555,ul. Filtrowa 68,NULL,Strasbourg,NULL,34351,Poland,1323,565662
1166,"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,subham,Central Hong Kong,NULL,34352,Germany,1337,565663
1188,Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,subham,Barcelona,CA,34353,USA,1370,565664
1216,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,subham,Glendale,NY,34354,USA,1401,565665
1286,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",subham,Cunewalde,NULL,34355,Spain,1501,565666
1323,"Volvo Model Replicas, Co",Berglund,Christina ,0921-12 3555,Berguvsv?gen  8,subham,èrhus,NULL,34356,Sweden,1504,565667
1370,"Saveley & Henriot, Co.",Saveley,Mary ,78.32.5555,"2, rue du Commerce",subham,NULL,NULL,34358,France,1611,565669
1401,"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,NULL,NULL,34359,Singapore,1612,565670
